  Lamda      L         MW        EW        QLR      POI7      POI17
 22.00  2.568797 16.805644 16.191131 39.672728 30.260073 47.238811 
 22.25  2.534383 16.629559 15.870300 39.191679 30.441470 48.012774 
 22.50  2.700166 17.743728 17.124437 41.621235 32.005808 50.037240 
 22.75  2.744011 18.048094 17.342696 42.206835 32.117993 50.034199 
 23.00  2.784763 18.330480 17.332484 41.955066 32.644990 50.880546 
 23.25  2.826995 18.629085 17.872674 43.148188 32.303545 50.649168 
 23.50  2.871187 18.899189 17.964461 43.249726 35.019001 54.105113 
 23.75  2.889978 18.947670 18.525743 44.489466 35.171940 54.218370 
 24.00  2.899341 19.019536 18.699336 45.055597 35.011428 54.426336 
 24.25  2.874578 18.967037 19.194670 45.992776 35.246654 54.652447 
 24.50  2.958584 19.574208 19.325644 46.260975 36.215148 55.974186 
 24.75  3.162625 20.934877 19.826659 47.416019 35.916967 55.694770 
 25.00  3.108107 20.561979 20.464001 48.647424 37.481186 58.172443 
 25.25  3.243527 21.594626 20.793281 49.121926 37.661667 58.080151 
 25.50  3.239229 21.557168 21.064790 49.663540 38.198098 58.186944 
 25.75  3.353796 22.166751 21.734927 51.409638 38.690530 59.957494 
 26.00  3.278171 21.837253 21.667152 50.982664 39.907419 60.841876 
 26.25  3.421261 22.680838 22.459652 52.918412 41.064433 62.591053 
 26.50  3.333402 22.201353 21.751699 51.376523 40.006154 61.221504 
 26.75  3.540180 23.631172 23.351106 54.551162 42.139083 64.154857 
 27.00  3.651947 24.349765 23.851153 55.514385 41.145973 63.560875 
 27.25  3.679627 24.681873 24.233569 56.264434 42.902798 66.050674 
 27.50  3.626578 24.286554 24.407735 56.542925 44.703965 67.188360 
 27.75  3.677259 24.750108 24.066880 56.148008 43.944219 66.984181 
 28.00  3.909941 26.248481 25.537785 59.277556 43.211759 66.781775 
 28.25  3.865008 26.011411 26.028004 59.795788 46.873686 71.565986 
 28.50  3.975935 26.765310 26.440336 61.067582 47.109860 71.344860 
 28.75  3.956780 26.814319 26.243253 60.506913 45.909532 69.943494 
 29.00  4.015073 27.088721 26.762111 61.310725 47.135176 71.576920 
 29.25  4.044471 27.362616 27.336250 62.724941 47.028704 72.024864 
 29.50  4.116622 27.798887 28.209768 64.481518 47.368023 72.268384 
 29.75  4.119197 27.805483 27.824110 63.669925 48.840404 74.439664 
 30.00  4.119890 27.757594 27.874261 64.016225 50.134179 76.343443 
 30.50  4.295113 29.172216 29.807491 67.773026 49.528712 76.291833 
 31.00  4.635833 31.606012 31.977516 72.265006 54.724646 81.738940 
 31.50  4.654451 31.676479 31.567840 71.339732 51.315271 78.609217 
 32.00  4.916009 33.648992 33.891847 75.921067 54.663023 82.480987 
 32.50  4.548695 31.115657 32.071004 72.456101 56.079138 84.829925 
 33.00  5.096148 35.162280 35.073109 78.420132 56.539904 85.334803 
 33.50  5.190815 36.041649 36.720800 81.810701 59.755765 89.591426 
 34.00  5.123954 35.535819 36.522019 81.466261 61.315574 93.760760 
 34.50  5.253450 36.537597 36.954706 82.047950 61.173033 92.128890 
 35.00  5.564189 38.434007 39.022377 86.785277 62.757053 94.450274 
